name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
The-Nefarious-Developer/zjoule,https://github.com/The-Nefarious-Developer/zjoule,39,"An Eclipse AI Assistant that connects with SAP AI Core deployments to provide a ""copilot"" experience to ABAP Developers on the cloud and on-premise",The MIT License,0,0,1,0,2024-10-30
yangFenTuoZi/Runner,https://github.com/yangFenTuoZi/Runner,37,,Apache License 2.0,0,0,1,0,2024-08-19
LevyVianna/bootcamp-apis-springboot,https://github.com/LevyVianna/bootcamp-apis-springboot,37,Springboot APIs and Microservices Bootcamp,The MIT License,0,0,1,0,2024-08-09
woheller69/seamless,https://github.com/woheller69/seamless,33,Offline Speech-to-text Android translator based on Seamless M4T,The MIT License,0,0,1,0,2025-01-08
LDemetrios/Kvasir,https://github.com/LDemetrios/Kvasir,30,,Apache License 2.0,0,0,1,0,2024-08-07
testnet0/testnet-java,https://github.com/testnet0/testnet-java,30,,Apache License 2.0,0,0,1,0,2024-08-05
Killetx/TridentDupe,https://github.com/Killetx/TridentDupe,30,"Meteor Client Addon - Developed by Killet, Laztec, and Ionar. This works on all servers currently, for all versions with tridents.  (Also works for arrows!)",Creative Commons 1.0 Universal,0,0,1,0,2025-02-16
LanBaiCode/xiaoyuan_unidbg,https://github.com/LanBaiCode/xiaoyuan_unidbg,28,小猿口算unidbg生成sign，提供http api服务,Apache License 2.0,0,0,1,0,2024-10-14
Tutorials-By-Kaupenjoe/Forge-Tutorial-1.21.X,https://github.com/Tutorials-By-Kaupenjoe/Forge-Tutorial-1.21.X,28,Official Repository of Kaupenjoe's Forge Modding Tutorials for Minecraft 1.21.X,The MIT License,0,0,1,0,2024-08-06
jsdjiazhiheng/ai-chat,https://github.com/jsdjiazhiheng/ai-chat,26,ai-chat是一个开源的聊天系统后端，支持多种AI模型，旨在提供智能化的聊天服务。它不仅支持文本聊天，还支持图片处理，为用户提供丰富的交互体验。提供多种模型文心一言、KIMI、智谱清言、DeepSeek、OPENAI、通义千问、星火、腾讯混元助手（待接入）、火山引擎（豆包）、百度SD、通义万象、触站AI、画宇宙等。,Apache License 2.0,0,0,1,0,2024-07-18
justin0kg/VirtualApp202410,https://github.com/justin0kg/VirtualApp202410,24,VirtualApp202410,Apache License 2.0,0,0,1,0,2024-11-20
mrtylerzhou/AntFlow-activiti,https://github.com/mrtylerzhou/AntFlow-activiti,24,"🐜AntFlow is an activiti based,🛩︎battle tested,enterprise grade workflow engine.It is easy to use,easy to maintenance. If you love it,please ⭐️ it  🐜 AntFlow是一款采用Springboot+MybatisPlus+activiti+ruoyi+vue3等主流前后端技术开发的仿钉钉工作流引擎。可以作为钉钉工作流的开源替代。如果喜欢请给颗⭐️,你的鼓励是我在开源路上前进的最大动力",Apache License 2.0,0,0,1,0,2024-08-18
mamiiblt/instafel-updater,https://github.com/mamiiblt/instafel-updater,23,An Update Solution for Instafel,Apache License 2.0,0,0,1,0,2024-10-13
jeelowcode/jeelowcode,https://github.com/jeelowcode/jeelowcode,23,👍 👍 👍 国内首个全开源的低代码开发平台 👍 👍 👍 。JeeLowCode低代码平台能够在线轻松驾驭99.99%编程挑战,Apache License 2.0,0,0,1,0,2024-12-13
hibrahem/charity_hub,https://github.com/hibrahem/charity_hub,21,,Apache License 2.0,0,0,1,0,2025-01-06
CyanidinMC/Cyanidin,https://github.com/CyanidinMC/Cyanidin,21,Ysm on folia or multi-plugin-server platform support based on velocity,The MIT License,0,0,1,0,2024-07-06
LegacyLands/legacy-lands-library,https://github.com/LegacyLands/legacy-lands-library,417,"A comprehensive toolkit for Minecraft server plugin development, supporting Spigot/Paper/Folia platforms.",The MIT License,0,0,0,0,2024-12-18
shining-stars-lk/damai,https://github.com/shining-stars-lk/damai,334,👍 👍 👍 高度仿制大麦网售票系统，使用 SpringCloudAlibaba、Kafka、Redis、Sentinel、ElasticSearch、ShardingSphere 等架构，实现 从抢票到生成订单完成支付 的整个流程，并包含各种高并发难题的实际落地解决方案。是面试、就业、提高技术的不二选择！,Apache License 2.0,0,0,0,0,2024-07-09
hzhilong/bilibili-backup,https://github.com/hzhilong/bilibili-backup,320,"一键对B站账号进行数据备份和还原，方便账号数据迁移/快速转生(哔哩哔哩 bilibili)。One-click backup and restore of B station account data, convenient account data migration/quick reincarnation.",The MIT License,0,0,0,0,2024-10-06
PortSwigger/bypass-bot-detection,https://github.com/PortSwigger/bypass-bot-detection,289,Burp Suite extension that mutates ciphers to bypass TLS-fingerprint based bot detection,Apache License 2.0,0,0,0,0,2024-07-25
coralblocks/CoralRing,https://github.com/coralblocks/CoralRing,186,"CoralRing is an ultra-low-latency, lock-free, garbage-free, batching  and concurrent circular queue (ring) in off-heap shared memory for inter-process communication (IPC) in Java across different JVMs using memory-mapped files.",Apache License 2.0,0,0,0,0,2024-11-06
OmniOneID/did-demo-server,https://github.com/OmniOneID/did-demo-server,170,,Apache License 2.0,0,0,0,0,2024-09-09
OmniOneID/did-issuer-server,https://github.com/OmniOneID/did-issuer-server,170,,Apache License 2.0,0,0,0,0,2024-10-28
OmniOneID/did-ta-server,https://github.com/OmniOneID/did-ta-server,162,,Apache License 2.0,0,0,0,0,2024-10-28
OmniOneID/did-client-sdk-aos,https://github.com/OmniOneID/did-client-sdk-aos,159,provides an SDK for developing an Android mobile wallet.,Apache License 2.0,0,0,0,0,2024-09-02
RuoJi6/xxl-job-FLM,https://github.com/RuoJi6/xxl-job-FLM,157,xxl-job内存马,The MIT License,0,0,0,0,2024-10-30
cinit/LibcoreSyscall,https://github.com/cinit/LibcoreSyscall,155,A library for loading ELF from memory and/or making Linux syscalls on Android written in pure Java.,Apache License 2.0,0,0,0,0,2024-10-29
taoofagi/easegen-admin,https://github.com/taoofagi/easegen-admin,140,,The MIT License,0,0,0,0,2024-10-16
XiaomingX/data-cve-poc,https://github.com/XiaomingX/data-cve-poc,137,这个仓库收集了所有在 GitHub 上能找到的 CVE 漏洞利用工具。 This repository collects all CVE exploits found on GitHub. ,Apache License 2.0,0,0,0,0,2024-11-10
javaKing-lgy/douyu-live-app,https://github.com/javaKing-lgy/douyu-live-app,135,手写一个MyBatis框架,Apache License 2.0,0,0,0,0,2024-12-19
wb04307201/easy-ai-spring-boot-starter,https://github.com/wb04307201/easy-ai-spring-boot-starter,131,这不是一个AI大模型，但是可以帮你快速集成AI大模型到Spring项目中，并通过“检索增强生成(RAG)”的方式建立专家知识库帮助大模型回答问题。,Apache License 2.0,0,0,0,0,2024-07-08
Alanosy/AgilePMB,https://github.com/Alanosy/AgilePMB,127,基于SpringBoot的项目管理系统-后端,The MIT License,0,0,0,0,2024-07-22
Pitayafruits/kafka-dog,https://github.com/Pitayafruits/kafka-dog,127,Kafka Dog is a lightweight desktop application for visualizing and managing Apache Kafka. It provides a user-friendly graphical interface for managing and monitoring Kafka clusters. | Kafka Dog 是一款轻量级的 Apache Kafka 可视化管理桌面应用，提供友好的图形化界面，用于管理和监控 Kafka 集群。,The MIT License,0,0,0,0,2024-11-10
