name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
retrage/svc-hook,https://github.com/retrage/svc-hook,98,System Call Hook for ARM64,Apache License 2.0,0,0,1,0,2024-07-21
Squalius-cephalus/silakka54,https://github.com/Squalius-cephalus/silakka54,85,54-key column staggered split keyboard ,The MIT License,0,0,1,0,2024-09-10
mctechnology17/zmk-nice-oled,https://github.com/mctechnology17/zmk-nice-oled,74,nice_oled vertical widgets for oled screens with zmk (for split and non-split keyboards),The MIT License,0,0,1,0,2024-11-27
tsoding/alexer,https://github.com/tsoding/alexer,73,Very basic lexer for very basic cases,The MIT License,0,0,1,0,2024-11-15
BlinkDL/fast.c,https://github.com/BlinkDL/fast.c,67,"Prepare for DeekSeek R1 inference: Benchmark CPU, DRAM, SSD, iGPU, GPU, ... with efficient code.",Apache License 2.0,0,0,1,0,2025-02-02
cloudofoz/raylib-media,https://github.com/cloudofoz/raylib-media,64,"Clean and user-friendly extension for raylib that adds seamless audio and video streaming support via the FFmpeg libav* libraries. It enables easy integration of multimedia content into raylib applications, providing direct access to video textures and audio streams, with support for seeking and looping.",Zlib/libpng License,0,0,1,0,2024-10-31
BossKoopa/BWSR,https://github.com/BossKoopa/BWSR,63,"Arm64 inline hooking for iOS, Android, OSX, and Linux.",The MIT License,0,0,1,0,2024-07-08
dexter-xD/jade,https://github.com/dexter-xD/jade,59,"Experimental JavaScript runtime built with C, JavaScriptCore (JSC), and libuv.",The MIT License,0,0,1,0,2025-01-27
plos-clan/Plant-OS,https://github.com/plos-clan/Plant-OS,51,A simple OS used to study made by several students,The MIT License,0,0,1,0,2024-07-21
outflanknl/linux_bof_template,https://github.com/outflanknl/linux_bof_template,47,ELF Beacon Object File (BOF) Template,Apache License 2.0,0,0,1,0,2024-08-07
MrXiaoM/WeChatMessages,https://github.com/MrXiaoM/WeChatMessages,38,PC WeChat Message Hook. 从微信PC版实时读取消息,The MIT License,0,0,1,0,2024-09-28
cifertech/MicroClick,https://github.com/cifertech/MicroClick,36,"The ""Micro Cl1ck"" project is a custom, programmable macro-pad, designed to enhance productivity through customizable shortcuts and controls.",The MIT License,0,0,1,0,2024-07-28
upiir/pitch_roll_indicator,https://github.com/upiir/pitch_roll_indicator,35,Pitch and Roll indicator project using DFRobot Serial 6-Axis Accelerometer and 2x ESP32-S3-LCD-1.28 from Waveshare,The MIT License,0,0,1,0,2024-07-26
rdgarce/imfs,https://github.com/rdgarce/imfs,34,A simple In memory file system written in C,The MIT License,0,0,1,0,2024-10-11
InfiniteSenseLab/Multi-Sensor-Time-Synchronisation-System,https://github.com/InfiniteSenseLab/Multi-Sensor-Time-Synchronisation-System,33,,The MIT License,0,0,1,0,2024-12-18
urob/zmk-auto-layer,https://github.com/urob/zmk-auto-layer,32,A ZMK module adding an auto-layer behavior,The MIT License,0,0,1,0,2024-08-01
